individual_id,sex,occ1_16Apr,occ2_17Apr,occ3_25Jun,histories
10B1,F,0,1,0,010
10B2,F,0,0,1,001
11B1,F,0,1,0,010
11B2,F,0,0,1,001
12B1,F,0,1,1,011
13B1,F,0,1,1,011
14B1,F,0,1,1,011
15B1,F,0,1,0,010
16B1,F,0,1,0,010
17B1,F,0,1,0,010
18B1,F,0,1,1,011
18B2,F,0,0,1,001
19B1,F,0,1,0,010
1B1,F,0,1,0,010
1B2,F,0,0,1,001
20B1,F,0,1,0,010
2B1,F,0,1,0,010
32B2,F,0,0,1,001
34B2,F,0,0,1,001
3B1,F,0,1,0,010
3B2,F,0,0,1,001
42B2,F,0,0,1,001
45B2,F,0,0,1,001
4B1,F,0,1,0,010
53,F,1,0,1,101
54,F,1,0,0,100
55,F,1,0,0,100
56,F,1,0,0,100
57,F,1,0,1,101
58,F,1,0,0,100
59,F,1,0,0,100
5B1,F,0,1,0,010
5B2,F,0,0,1,001
60,F,1,0,0,100
61,F,1,0,0,100
62,F,1,1,0,110
63,F,1,0,0,100
64,F,1,0,1,101
65,F,1,0,1,101
66,F,1,0,0,100
67,F,1,0,1,101
68,F,1,0,0,100
69,F,1,0,0,100
70,F,1,0,0,100
71,F,1,0,0,100
7B1,F,0,1,1,011
8B1,F,0,1,0,010
9B1,F,0,1,0,010
9B2,F,0,0,1,001
15B2,M,0,0,1,001
16B2,M,0,0,1,001
19B2,M,0,0,1,001
20B2,M,0,0,1,001
21B1,M,0,1,0,010
22B1,M,0,1,0,010
22B2,M,0,0,1,001
23B1,M,0,1,0,010
23B2,M,0,0,1,001
24B1,M,0,1,0,010
24B2,M,0,0,1,001
25B2,M,0,0,1,001
26B1,M,0,1,0,010
26B2,M,0,0,1,001
27B1,M,0,1,0,010
28B1,M,0,1,0,010
28B2,M,0,0,1,001
29B1,M,0,1,0,010
30B1,M,0,1,0,010
30B2,M,0,0,1,001
31B1,M,0,1,0,010
32B1,M,0,1,0,010
33B1,M,0,1,0,010
33B2,M,0,0,1,001
34B1,M,0,1,0,010
35B1,M,0,1,0,010
35B2,M,0,0,1,001
36B1,M,0,1,0,010
37B1,M,0,1,1,011
37B2,M,0,0,1,001
38B1,M,0,1,0,010
39B1,M,0,1,0,010
41B1,M,0,1,1,011
41B2,M,0,0,1,001
42B1,M,0,1,0,010
43B1,M,0,1,1,011
43B2,M,0,0,1,001
44B1,M,0,1,0,010
44B2,M,0,0,1,001
45B1,M,0,1,0,010
46B1,M,0,1,0,010
46B2,M,0,0,1,001
47B1,M,0,1,0,010
47B2,M,0,0,1,001
48B1,M,0,1,0,010
49B1,M,0,1,0,010
50B1,M,0,1,0,010
51B1,M,0,1,0,010
52B1,M,0,1,0,010
53B1,M,0,1,0,010
54B1,M,0,1,0,010
55B1,M,0,1,0,010
56B1,M,0,1,0,010
57B1,M,0,1,0,010
58B1,M,0,1,0,010
59B1,M,0,1,0,010
60B1,M,0,1,0,010
61B1,M,0,1,0,010
62B1,M,0,1,0,010
63B1,M,0,1,0,010
64B1,M,0,1,0,010
65B1,M,0,1,1,011
66B1,M,0,1,0,010
67B1,M,0,1,0,010
69B1,M,0,1,0,010
70B1,M,0,1,0,010
71B1,M,0,1,0,010
72,M,1,1,0,110
72B1,M,0,1,0,010
73,M,1,0,0,100
73B1,M,0,1,0,010
74,M,1,0,0,100
74B1,M,0,1,0,010
75,M,1,0,0,100
75B1,M,0,1,0,010
76,M,1,0,0,100
76B1,M,0,1,0,010
77,M,1,0,0,100
78,M,1,0,0,100
79,M,1,0,0,100
80,M,1,0,0,100
81,M,1,0,0,100
82,M,1,0,0,100
83,M,1,0,0,100
84,M,1,0,0,100
85,M,1,0,0,100
86,M,1,1,1,111
87,M,1,0,0,100
88,M,1,0,0,100
89,M,1,0,0,100
90,M,1,0,0,100
91,M,1,0,0,100
92,M,1,0,1,101
93,M,1,0,0,100
94,M,1,1,0,110
95,M,1,0,0,100
96,M,1,0,1,101
97,M,1,0,0,100
